Key	Parent key	Code	TitleEn									Title
100086	184322	10152301	Bean seeds or seedlings									بذر یا نهال لوبیا
100087	184323	10152404	Carrot seeds or seedlings									بذر یا نهال هویج
100088	100085	10151503	Celery seeds or seedlings									بذر یا نهال کرفس
100089	100085	10151504	Chili seeds or seedlings									بذر یا نهال فلفل چیلی
100090	100085	10151505	Courgette seeds or seedlings									بذر یا نهال کدو
100091	100085	10151506	Pea seeds or seedlings									بذر یا نهال نخودفرنگی
100092	100085	10151507	Cucumber seeds or seedlings									بذر یا نهال خیار
100093	100085	10151508	Eggplant seeds or seedlings									بذر یا نهال بادمجان
100094	100085	10151509	Endive seeds or seedlings									بذر یا نهال کاسنی
100095	100085	10151510	Garlic seeds or seedlings									بذر یا نهال سیر
100096	100085	10151511	Leek seeds or seedlings									بذر یا نهال تره
100097	100085	10151512	Lettuce seeds or seedlings									بذر یا نهال کاهو
100098	100085	10151513	Corn seeds or seedlings									بذر یا نهال ذرت
100099	100085	10151514	Melon seeds or seedlings									بذر یا نهال خربزه
100100	100085	10151515	Onion seeds or seedlings									بذر یا نهال پیاز
100101	184322	10152302	Soya seeds or seedlings									بذر یا نهال سویا
100102	100085	10151517	Spinach seeds or seedlings									بذر یا نهال اسفناج
100103	100085	10151518	Tomato seeds or seedlings									بذر یا نهال گوجه فرنگی
100104	184323	10152402	Turnip seeds or seedlings									بذر یا نهال شلغم
100105	100085	10151520	Chard seeds or seedlings									بذر یا نهال چغندر
100106	100084	10151600	Cereal seeds									بذر غلات
100107	100106	10151601	Wheat seeds									بذر گندم
100108	100106	10151602	Colza seeds									بذر کلزا
100109	100106	10151603	Barley seeds									بذر جو
100110	100106	10151604	Millet seeds									بذر ارزن
100111	100106	10151605	Oat seeds									بذر یولاف
100112	100106	10151606	Sesame seeds									بذر کنجد
100113	100106	10151607	Linseed seeds									بذر کتان
100114	100106	10151608	Castor oil seeds									بذر کرچک
100115	100106	10151609	Maize seeds									بذر ذرت
100116	100106	10151610	Rye seeds									بذر چاودار
100117	100106	10151611	Sorghum seeds									بذر سورگوم
100118	100084	10151700	Grass and forage seeds and seedlings									بذر و نهال علوفه و چمن
100119	100106	10151614	Rice seeds or seedlings									بذر یا نهال برنج
100123	100084	10151800	Spice crop seeds and seedlings									بذر و نهال گیاهان ادویه‌ای
100134	100084	10151900	Flower seeds and bulbs and seedlings and cuttings									بذر و پیاز و نهال و قلمه گل
100138	100084	10152000	Tree and shrub seeds and cuttings									بذر و قلمه درخت و درختچه
100139	100138	10152001	Fruit tree seeds or cuttings									بذر یا قلمه درخت میوه
100141	100138	10152003	Nut tree seeds or cuttings									بذر یا قلمه درخت آجیل
100142	100001	10160000	Floriculture and silviculture products									محصولات گل‌کاری و جنگل‌داری
100143	100142	10161500	Trees and shrubs									درختان و درختچه‌ها
100168	100001	10170000	Fertilizers and plant nutrients and herbicides									کودها و مواد مغذی گیاه و علف‌کش‌ها
100169	100168	10171500	Organic fertilizers and plant nutrients									کودهای آلی و مواد مغذی گیاه
100170	100169	10171501	Manure or guano									کود حیوانی یا گوانو
100171	100169	10171502	Plant hormones									هورمون‌های گیاهی
100173	100168	10171600	Chemical fertilizers and plant nutrients									کودهای شیمیایی و مواد مغذی گیاه
100174	100173	10171601	Ammonium nitrate fertilizer									کود نیترات آمونیوم
100175	100173	10171602	Potassic fertilizer									کود پتاسه
100176	100173	10171603	Phosphatic fertilizer									کود فسفاته
100177	100173	10171604	Sulphuric fertilizer									کود سولفوره
100178	100173	10171605	Nitrogen Phosphorous Potassium Mixtures NPK									مخلوط نیتروژن فسفر پتاسیم NPK
100179	100001	10190000	Pest control products									محصولات کنترل آفات
100180	100179	10191500	Pesticides or pest repellents									آفت‌کش‌ها یا دفع آفات
100181	100180	10191509	Insecticides									حشره‌کش‌ها
100183	100180	10191506	Rodenticides									موش‌کش‌ها
100188	100179	10191700	Pest control devices									دستگاه‌های کنترل آفات
100189	100	11000000	Mineral and Textile and Inedible Plant and Animal Materials									مواد معدنی و نساجی و مواد گیاهی و جانوری غیرخوراکی
100190	100189	11100000	Minerals and ores and metals									مواد معدنی و سنگ معدن و فلزات
100191	100190	11101500	Minerals									مواد معدنی
100192	100191	11101501	Mica									میکا
100197	100191	11101506	Chalk									گچ
100212	100190	11101600	Ores									سنگ معدن
100231	100190	11101700	Base Metals									فلزات پایه
100247	100190	11101800	Precious metals									فلزات گرانبها
100251	100189	11110000	Earth and stone									خاک و سنگ
100252	100251	11111500	Dirt and soil									خاک
100253	100252	11111501	Soil									خاک
100256	100251	11111600	Stone									سنگ
100257	100256	11111601	Gypsum									سنگ گچ
100258	100256	11111602	Travertine									تراورتن
100259	100256	11111603	Ecaussine or alabaster									اکوسین یا آلاباستر
100260	100256	11111604	Granite									گرانیت
100261	100256	11111605	Marble									مرمر
100262	100256	11111606	Slate									سنگ لوح
100263	100256	11111607	Sandstone									ماسه سنگ
100264	100256	11111608	Limestone									سنگ آهک
100265	100251	11111700	Sand									ماسه
100266	100265	11111701	Silica sand									ماسه سیلیسی
100267	100251	11111800	Clays									رس‌ها
100268	100267	11111801	Terra cotta									سفال
100269	100267	11111802	Fireclay									رس نسوز
100270	100267	11111803	Kaolin or other kaolinic clays									کائولن یا سایر رس‌های کائولینی
100271	100267	11111804	Bentonite									بنتونیت
100272	100267	11111805	Andalusite									آندالوزیت
100273	100267	11111806	Mullite									مولیت
100274	100267	11111807	Chamotte									شاموت
100275	100267	11111808	Common clay									رس معمولی
100276	100267	11111809	Ball clay									رس توپی
100277	100267	11111810	Fullers earth									خاک رنگبر
100278	100189	11120000	Non edible plant and forestry products									محصولات گیاهی غیرخوراکی و جنگلی
100279	100278	11121500	Sap									شیره گیاهی
100281	100279	11121502	Rosin									رزین
100282	100278	11121600	Wood									چوب
100283	100282	11121603	Logs									کنده درخت
100284	100282	11121604	Soft timber									الوار نرم
100285	100282	11121605	Rattan									خیرزان
100286	100282	11121606	Cork									چوب پنبه
100287	100282	11121607	Wood pulp									خمیر چوب
100288	100282	11121608	Bamboo									بامبو
100289	100278	11121700	Forestry byproducts									محصولات فرعی جنگلی
100298	100278	11121800	Plant fibers									الیاف گیاهی
100307	100189	11130000	Non edible animal products									محصولات حیوانی غیرخوراکی
100308	100307	11131500	Animal hides and skins and animal textile materials									پوست حیوانات و مواد نساجی حیوانی
100309	100308	11131501	Feathers									پر
100316	100307	11131600	Other animal products									سایر محصولات حیوانی
100318	100316	11131602	Semen									منی
100323	100316	11131607	Embryos									جنین
100324	100189	11140000	Scrap and waste materials									قراضه و مواد زائد
100329	100324	11141600	Non metallic waste and scrap									ضایعات و قراضه غیرفلزی
100338	100324	11141700	Food and tobacco waste and scrap									ضایعات مواد غذایی و تنباکو
100341	100189	11150000	Fibers and threads and yarns									الیاف و نخ‌ها
100342	100341	11151500	Fibers									الیاف
100353	100341	11151600	Threads									نخ‌ها
100363	100341	11151700	Yarns									نخ‌های تابیده
100370	100189	11160000	Fabrics and leather materials									پارچه و مواد چرمی
100371	100370	11161500	Silk fabrics									پارچه ابریشمی
100376	100370	11161600	Wool fabrics									پارچه پشمی
100380	100370	11161700	Cotton fabrics									پارچه نخی
100386	100370	11161800	Synthetic fabrics									پارچه مصنوعی
100398	100370	11162000	Fabrics of vegetable material other than cotton									پارچه‌های گیاهی غیر از پنبه
100401	100370	11162100	Specialty fabrics or cloth									پارچه‌های خاص
100402	100401	11162101	Cheese cloth or fabric									پارچه پنیری
100403	100401	11162102	Bismalemide fabric or cloth									پارچه بیسمالیمید
100405	100401	11162104	Graphite fabric or cloth									پارچه گرافیتی
100406	100401	11162105	Glass fabric or cloth									پارچه شیشه‌ای
100408	100401	11162107	Resin impregnated fabric or cloth									پارچه آغشته به رزین
100409	100401	11162108	Wire mesh fabric or cloth									پارچه توری فلزی
100410	100401	11162109	Lace									توری
100411	100401	11162110	Netting									تور
100412	100401	11162111	Mesh									مش
100413	100401	11162112	Coated fabrics									پارچه‌های روکش‌دار
100414	100401	11162113	Upholstery fabrics									پارچه مبل
100415	100	12000000	Chemicals including Bio Chemicals and Gas Materials									مواد شیمیایی شامل مواد بیوشیمیایی و گازها
100514	110290	12141800	Alkali metals									فلزات قلیایی
100588	110619	12142201	Deuterated solvents									حلال‌های دوتره
100589	110619	12142202	Heavy water									آب سنگین
100590	110619	12142203	Alpha sources									منابع آلفا
100591	110619	12142204	Beta sources									منابع بتا
100592	110619	12142205	Cobalt sources									منابع کبالت
100593	110619	12142206	Gamma sources									منابع گاما
100595	110619	12142207	Radioisotope sources									منابع رادیوایزوتوپ
100596	110619	12142208	Calibration sources									منابع کالیبراسیون
100621	100415	12130000	Explosive materials									مواد منفجره
100622	100621	12131500	Explosives									مواد منفجره
100623	100622	12131501	Dynamite									دینامیت
100624	100622	12131502	Explosive cartridges									کارتریج انفجاری
100625	100622	12131503	Propellant explosives									مواد منفجره پیشران
100626	100622	12131504	Explosive charges									خمیر انفجاری
100627	100622	12131505	Plastic explosives									مواد منفجره پلاستیکی
100628	100622	12131506	Aluminized explosives									مواد منفجره آلومینیومی
100629	100622	12131507	Ammonium nitrate explosives									مواد منفجره نیترات آمونیوم
100630	100622	12131508	Nitroglycerin powder explosives									مواد منفجره نیتروگلیسیرین
100631	100621	12131600	Pyrotechnics									آتش‌بازی
100637	100621	12131700	Igniters									جرقه‌زن‌ها
100639	100637	12131702	Detonators									چاشنی‌ها
100640	100637	12131703	Explosives fuses									فیتیله انفجاری
100641	100637	12131704	Explosive initiators									آغازگرهای انفجاری
100642	100637	12131705	Explosive primers									پرایمرهای انفجاری
100643	100621	12131800	Propellants									پیشران‌ها
100650	100	13000000	Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials									رزین و رزین کلوفان و لاستیک و فوم و فیلم و مواد الاستومری
100651	100650	13100000	Rubber and elastomers									لاستیک و الاستومرها
100652	100651	13101500	Natural rubber									لاستیک طبیعی
100657	100651	13101600	Processed and synthetic rubber									لاستیک فرآوری شده و مصنوعی
100664	100651	13101700	Elastomers									الاستومرها
100690	100651	13101900	Thermoset plastics									پلاستیک‌های ترموست
100697	100651	13102000	Thermoplastic plastics									پلاستیک‌های گرمانرم
100729	117189	13111000	Resins									رزین‌ها
100747	117188	13111202	Polyurethane films									فیلم‌های پلی‌یورتان
100748	100	14000000	Paper Materials and Products									مواد و محصولات کاغذی
100749	100748	14100000	Paper materials									مواد کاغذی
100750	100749	14101500	Raw materials									مواد خام
100751	100750	14101501	Paper pulp									خمیر کاغذ
100752	100748	14120000	Industrial use papers									کاغذهای صنعتی
100754	100752	14121500	Paperboard and packaging papers									مقوا و کاغذهای بسته‌بندی
100755	107497	14121901	Standard newsprint									کاغذ روزنامه استاندارد
100756	107492	14121807	Butcher papers									کاغذ قصابی
100757	100748	14110000	Paper products									محصولات کاغذی
100758	100757	14111500	Printing and writing paper									کاغذ چاپ و تحریر
100759	100758	14111501	Onion skin paper									کاغذ پوست پیازی
100760	100758	14111502	Vellum paper									کاغذ ولوم
100761	100758	14111503	Parchment paper									کاغذ پوستی
100762	100758	14111504	Tractor feed paper									کاغذ تراکتوری
100763	100758	14111505	Mimeograph paper									کاغذ استنسیل
100764	100758	14111506	Computer printout paper									کاغذ چاپ کامپیوتری
100765	100758	14111507	Printer or copier paper									کاغذ چاپگر یا کپی
100766	100758	14111508	Facsimile paper									کاغذ فکس
100767	100758	14111509	Stationery									لوازم التحریر
100768	100758	14111510	Plotter paper									کاغذ پلاتر
100769	100758	14111511	Writing paper									کاغذ تحریر
100770	100758	14111512	Graph paper									کاغذ گراف
100771	100758	14111513	Ledger paper									کاغذ دفتر کل
100772	100758	14111514	Paper pads or notebooks									دفترچه یادداشت کاغذی
100773	100758	14111515	Calculator or cash register paper									کاغذ ماشین حساب یا صندوق
100774	100758	14111516	Notebook filler paper									کاغذ دفترچه
100775	133347	14111806	Business forms or questionnaires									فرم‌های تجاری یا پرسشنامه
100776	100757	14111600	Novelty paper									کاغذ تزئینی
100777	100776	14111601	Gift wrapping paper or bags or boxes									کاغذ یا کیسه یا جعبه کادو
100780	100776	14111604	Business cards									کارت ویزیت
100781	100776	14111605	Greeting or note or post cards									کارت تبریک یا یادداشت یا پستال
100782	100757	14111700	Personal paper products									محصولات کاغذی شخصی
100783	100782	14111701	Facial tissues									دستمال کاغذی صورت
100784	100782	14111702	Toilet seat covers									روکش توالت
100785	100782	14111703	Paper towels									دستمال کاغذی
100786	100782	14111704	Toilet tissue									دستمال توالت
100787	100	15000000	Fuels and Fuel Additives and Lubricants and Anti corrosive Materials									سوخت‌ها و افزودنی‌های سوخت و روان‌کننده‌ها و مواد ضدخوردگی
100788	100787	15100000	Fuels									سوخت‌ها
100789	100788	15101500	Petroleum and distillates									نفت و تقطیرات
100790	100788	15101700	Fuel Oils									نفت کوره
100791	100789	15101502	Kerosene									نفت سفید
100792	100789	15101503	Naphtha									نفتا
100793	100789	15101504	Aviation fuel									سوخت هواپیما
100794	100789	15101505	Diesel fuel									سوخت دیزل
100795	100789	15101506	Gasoline or Petrol									بنزین
100796	100789	15101507	Benzene									بنزن
100797	100789	15101508	Crude oil									نفت خام
100798	100789	15101509	Marine fuel									سوخت دریایی
100799	100788	15101600	Solid and gel fuels									سوخت‌های جامد و ژلی
100803	100787	15110000	Gaseous fuels and additives									سوخت‌های گازی و افزودنی‌ها
100804	100803	15111500	Gaseous fuels									سوخت‌های گازی
100805	100804	15111501	Propane									پروپان
100806	100804	15111502	Methane									متان
100807	100804	15111503	Propylene									پروپیلن
100808	100804	15111504	Ethylene									اتیلن
100809	100804	15111505	Butane									بوتان
100814	100787	15120000	Lubricants and oils and greases and anti corrosives									روان‌کننده‌ها و روغن‌ها و گریس‌ها و مواد ضدخوردگی
100815	100814	15121500	Lubricating preparations									فرآورده‌های روان‌کننده
100816	100815	15121501	Engine oil									روغن موتور
100819	100815	15121504	Hydraulic oil									روغن هیدرولیک
100823	100815	15121508	Transmission oil									روغن گیربکس
100825	110513	12181500	Waxes									واکس‌ها
100831	100814	15121800	Anti corrosives									مواد ضدخوردگی
100836	100787	15130000	Fuel for nuclear reactors									سوخت راکتورهای هسته‌ای
100837	100836	15131500	Nuclear fuel									سوخت هسته‌ای
100838	107504	15131601	Nuclear fuel rod									میله سوخت هسته‌ای
100839	100837	15131502	Depleted uranium									اورانیوم فقیر شده
100840	100837	15131503	Enriched uranium									اورانیوم غنی شده
100841	100837	15131504	Iridium									ایریدیوم
100842	100837	15131505	Enriched plutonium									پلوتونیوم غنی شده
100843	100837	15131506	Depleted plutonium									پلوتونیوم فقیر شده
100844	101	20000000	Mining and Well Drilling Machinery and Accessories									ماشین‌آلات و لوازم جانبی معدن‌کاری و حفاری چاه
100845	100844	20100000	Mining and quarrying machinery and equipment									ماشین‌آلات و تجهیزات معدن‌کاری و سنگ‌بری
100846	100845	20101500	Cutting equipment									تجهیزات برش
100847	100846	20101501	Continuous mining equipment									تجهیزات معدن‌کاری پیوسته
100848	100846	20101502	Longwall shears									برش‌دهنده‌های جبهه کار طولانی
100851	100845	20101600	Screens and feeding equipment									سرندها و تجهیزات تغذیه
100854	100845	20101700	Crushers and breakers and grinders									سنگ‌شکن‌ها و خردکن‌ها و آسیاب‌ها
100863	100854	20101709	Ball mills									آسیاب گلوله‌ای
100867	100844	20110000	Well drilling and operation equipment									تجهیزات حفاری و بهره‌برداری چاه
100868	100867	20111500	Drilling and exploration equipment									تجهیزات حفاری و اکتشاف
100872	100868	20111504	Water well drilling equipment									تجهیزات حفاری چاه آب
100873	100868	20111505	Uranium exploration equipment									تجهیزات اکتشاف اورانیوم
100877	100867	20111600	Drilling and operation machinery									ماشین‌آلات حفاری و بهره‌برداری
100882	100845	20102100	Rock drills									دریل سنگ
100896	100867	20111700	Drilling and operation accessories									لوازم جانبی حفاری و بهره‌برداری
100901	101	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories									ماشین‌آلات و لوازم جانبی کشاورزی، ماهیگیری، جنگل‌داری و حیات وحش
100902	100901	21100000	Agricultural and forestry and landscape machinery and equipment									ماشین‌آلات و تجهیزات کشاورزی، جنگل‌داری و فضای سبز
100903	100902	21101500	Agricultural machinery for soil preparation									ماشین‌آلات کشاورزی برای آماده‌سازی خاک
100904	100903	21101501	Ploughs									گاوآهن
100905	100903	21101502	Harrows									هرس‌کننده‌ها (دیسک)
100906	100903	21101503	Cultivators									کولتیواتورها
100907	100903	21101504	Weeders									وجین‌کن‌ها
100908	100903	21101505	Hoeing machines									ماشین‌های بیل‌زنی
100909	100903	21101506	Graders or land levelers									گریدرها یا تسطیح‌کننده‌های زمین
100910	100903	21101507	Agricultural rollers									غلتک‌های کشاورزی
100911	100903	21101508	Rollers for lawn or sports grounds									غلتک‌های چمن یا زمین ورزشی
100912	100903	21101509	Trencher drainage machine									ماشین زهکشی ترانشه
100914	184366	21102501	Irrigation trickles									قطره‌چکان‌های آبیاری
100915	184366	21102502	Irrigation overheads									آبپاش‌های آبیاری
100918	100902	21101600	Agricultural machinery for planting and seeding									ماشین‌آلات کشاورزی برای کاشت و بذرپاشی
100919	100918	21101601	Planters									بذرکارها
100925	100902	21101700	Agricultural machinery for harvesting									ماشین‌آلات کشاورزی برای برداشت
100926	100925	21101701	Mowers									ماشین‌های چمن‌زنی
100928	100925	21101703	Harvesters									کمباین‌ها
100930	100925	21101705	Threshing machines									خرمن‌کوب‌ها
100931	100902	21101800	Dispersing and spraying appliances for agriculture									دستگاه‌های پخش و سمپاشی برای کشاورزی
100932	100931	21101801	Sprayers									سمپاش‌ها
100933	100931	21101802	Dusters									گردپاش‌ها
100934	100931	21101803	Water sprinklers									آبپاش‌ها
100935	100931	21101804	Fertilizer spreaders or distributors									کودپاش‌ها یا توزیع‌کننده‌های کود
100936	100931	21101805	Fog or mist generators									مه‌سازها
100937	100931	21101806	Composter									کمپوست‌ساز
100938	100931	21101807	Pollination equipment or supplies									تجهیزات یا ملزومات گرده‌افشانی
100939	100931	21101808	Frost protection equipment									تجهیزات حفاظت از سرمازدگی
100940	100902	21101900	Poultry and livestock equipment									تجهیزات طیور و دام
100941	100940	21101901	Milking machines									شیردوش‌ها
100943	100940	21101903	Incubators or brooders for poultry									دستگاه‌های جوجه‌کشی یا پرورش طیور
100945	100940	21101905	Livestock identification equipment									تجهیزات شناسایی دام
100946	100940	21101906	Egg inspection or collecting equipment									تجهیزات بازرسی یا جمع‌آوری تخم‌مرغ
100949	100902	21102000	Agricultural machinery for cleaning and sorting and grading									ماشین‌آلات کشاورزی برای تمیز کردن، سورت و درجه‌بندی
100950	100949	21102001	Cleaning machines for seed or grain or dried leguminous vegetables									ماشین‌های تمیزکننده بذر یا غلات یا حبوبات خشک
100951	100949	21102002	Sorting machines for seed or grain or dried leguminous vegetables									ماشین‌های سورت بذر یا غلات یا حبوبات خشک
100956	100902	21102100	Agricultural processing machinery and equipment									ماشین‌آلات و تجهیزات فرآوری کشاورزی
100958	100902	21102200	Forestry machinery and equipment									ماشین‌آلات و تجهیزات جنگل‌داری
100966	100902	21102300	Greenhouse equipment									تجهیزات گلخانه
100971	100902	21102400	Insect equipment									تجهیزات حشرات
100972	100971	21102401	Beekeeping equipment									تجهیزات زنبورداری
100976	100901	21110000	Fishing and aquaculture equipment									تجهیزات ماهیگیری و آبزی‌پروری
100977	100976	21111500	Commercial fishing equipment									تجهیزات ماهیگیری تجاری
100978	100977	21111501	Commercial fish hooks									قلاب‌های ماهیگیری تجاری
100981	100977	21111504	Commercial fishing nets									تورهای ماهیگیری تجاری
100985	100976	21111600	Aquaculture equipment									تجهیزات آبزی‌پروری
100988	103	22000000	Building and Construction Machinery and Accessories									ماشین‌آلات و لوازم جانبی ساختمان و ساخت و ساز
100989	100988	22100000	Heavy construction machinery and equipment									ماشین‌آلات و تجهیزات سنگین ساختمانی
100990	100989	22101500	Earth moving machinery									ماشین‌آلات خاک‌برداری
100991	100990	22101501	Front end loaders									لودرهای جلو
100992	100990	22101502	Graders									گریدرها
100994	100990	22101504	Pile drivers									شمع‌کوب‌ها
100995	100990	22101505	Rollers									غلتک‌ها
100997	100990	22101507	Tampers									کوبنده‌ها
100998	100990	22101508	Trenching machines									ماشین‌های ترانشه‌کنی
100999	100990	22101509	Backhoes									بکهوها
101001	100990	22101511	Compactors									کمپکتورها
101003	100990	22101513	Draglines									دراگلاین‌ها
101004	100990	22101514	Dredgers									لایروبی‌ها
101006	100990	22101516	Ditchers									جوی‌کن‌ها
101008	100989	22101600	Paving equipment									تجهیزات روسازی
101015	100989	22101700	Heavy equipment components									قطعات تجهیزات سنگین
101020	101	23000000	Industrial Manufacturing and Processing Machinery and Accessories									ماشین‌آلات و لوازم جانبی تولید و فرآوری صنعتی
101021	101020	23100000	Raw materials processing machinery									ماشین‌آلات فرآوری مواد خام
101022	101021	23101500	Machinery for working wood and stone and ceramic and the like									ماشین‌آلات کار روی چوب، سنگ، سرامیک و مانند آن
101023	101022	23101501	Coping machines									ماشین‌های کمان‌بر
101035	101022	23101513	Milling machines									ماشین‌های فرز
101038	101020	23110000	Petroleum processing machinery									ماشین‌آلات فرآوری نفت
101054	101020	23120000	Textile and fabric machinery and accessories									ماشین‌آلات و لوازم جانبی نساجی و پارچه
101055	101054	23121500	Textile processing machinery and accessories									ماشین‌آلات و لوازم جانبی فرآوری نساجی
101056	101055	23121501	Embroidery making machines									ماشین‌های گلدوزی
101066	101054	23121600	Textile working machinery and equipment and accessories									ماشین‌آلات و تجهیزات و لوازم جانبی کار نساجی
101080	101066	23121614	Sewing machines									چرخ خیاطی
101082	101020	23130000	Lapidary machinery and equipment									ماشین‌آلات و تجهیزات سنگ‌تراشی
101083	101082	23131500	Grinding and sanding and polishing equipment and supplies									تجهیزات و ملزومات سنگ‌زنی، سنباده‌زنی و پرداخت
101084	101083	23131501	Abrasive compounds									خمیرهای ساینده
101086	101083	23131503	Grinding wheels									چرخ‌های سنگ‌زنی
101096	101082	23131600	Faceting equipment and accessories									تجهیزات و لوازم جانبی تراش
101101	101082	23131700	Cabbing equipment									تجهیزات کابینگ
101106	101020	23140000	Leatherworking repairing machinery and equipment									ماشین‌آلات و تجهیزات تعمیر و کار چرم
101109	101106	23141600	Leather preparing machinery and accessories									ماشین‌آلات و لوازم جانبی آماده‌سازی چرم
101110	101109	23141601	Leather fleshing machines									ماشین‌های لش‌گیری چرم
101115	101106	23141700	Leather working and repairing machinery and accessories									ماشین‌آلات و لوازم جانبی کار و تعمیر چرم
101120	101020	23150000	Industrial process machinery and equipment and supplies									ماشین‌آلات و تجهیزات و ملزومات فرآیند صنعتی
101121	101120	23151500	Rubber and plastic processing machinery and equipment and supplies									ماشین‌آلات و تجهیزات و ملزومات فرآوری لاستیک و پلاستیک
101131	101120	23151600	Cement and ceramics and glass industry machinery and equipment and supplies									ماشین‌آلات و تجهیزات و ملزومات صنعت سیمان، سرامیک و شیشه
101140	101120	23151700	Optical industry machinery and equipment and supplies									ماشین‌آلات و تجهیزات و ملزومات صنعت اپتیک
101146	101120	23151800	Pharmaceutical industry machinery and equipment and supplies									ماشین‌آلات و تجهیزات و ملزومات صنعت داروسازی
101162	101120	23151900	Paper making and paper processing machinery and equipment and supplies									ماشین‌آلات و تجهیزات و ملزومات کاغذسازی و فرآوری کاغذ
101169	101020	23160000	Foundry machines and equipment and supplies									ماشین‌آلات و تجهیزات و ملزومات ریخته‌گری
101170	101169	23161500	Foundry machines and equipment									ماشین‌آلات و تجهیزات ریخته‌گری
101171	101170	23161501	Foundry blowers									دمنده‌های ریخته‌گری
101186	101169	23161600	Foundry supplies									ملزومات ریخته‌گری
101208	144683	23271812	Welding rod									میله جوشکاری
101238	101020	23180000	Industrial food and beverage equipment									تجهیزات صنعتی مواد غذایی و آشامیدنی
101239	101238	23181500	Food preparation machinery									ماشین‌آلات آماده‌سازی مواد غذایی
101240	101239	23181501	Filling machinery									ماشین‌آلات پرکن
101241	101239	23181502	Milling machinery									ماشین‌آلات آسیاب
101246	101239	23181507	Crushing machinery									ماشین‌آلات خردکن
101249	101238	23181600	Food cutting machinery									ماشین‌آلات برش مواد غذایی
101250	101249	23181601	Dicing machinery									ماشین‌آلات نگینی کردن
101256	101238	23181700	Food cooking and smoking machinery									ماشین‌آلات پخت و دودی کردن مواد غذایی
101261	101238	23181800	Industrial beverage processing machinery									ماشین‌آلات فرآوری صنعتی نوشیدنی
